,characteristics,rating,REF
1276,"vanilla, gateway",3.5,2008
1277,"full bodied, floral",3.75,2008
1278,"gritty, coffee, sweet, hammy",3.0,2100
1279,"complex, bold, gritty",3.25,2104
1280,"bold, spice, sour fruit, gritty",3.25,2104
1281,"off note, vanilla, basic cocoa",2.75,1534
1282,"harsh, burnt nuts, powdery",2.75,2458
1283,"nutty, cocoa, sour veggie",3.5,2214
1284,"floral, earthy, grassy",3.0,2218
1285,"herbal, tea-like",3.5,2218
1286,brownie,3.75,2218
1287,"raisins, prunes",3.5,1061
1288,"nutty, sour milk, off note",3.0,1069
1289,"very sweet, basic cocoa",3.25,1069
1290,"candy-like, peanut butter",3.25,1073
1291,"rich cocoa, dried fruit, roasty",3.75,2498
1292,"light color, nutty, caramel",3.75,2498
1293,"banana, fall spices, earthy",3.75,2502
1294,"dried fruit, bitter, rubbery",3.25,2716
1295,"creamy, balanced, fig, cocoa",3.5,2390
1296,"sandy, sweet, acidic",3.0,2394
1297,"creamy, floral, dried fruit",3.75,2422
1298,"creamy, black tea, vegetal",3.0,2454
1299,"creamy, distinct, dried fruit",3.75,2454
1300,"floral, woody, cocoa, creamy",3.5,2764
1301,cocoa with hint of melon,4.0,2764
1302,"honey, molasses, cream, woody",3.5,2764
1303,"base cocoa, fruit, fatty",3.25,2334
1304,"spicy, tobacco",3.0,2338
1305,"muted, grapes, astringent",3.0,2338
1306,"cocoa, strong distinct spice",3.75,387
1307,"chewy, vanilla, metallic",2.5,837
1308,"creamy, mild marshmallow",3.0,241
1309,"intense, mint, marshmallow",3.5,241
1310,"sweet, vanilla, coffee",2.75,245
1311,"crumbly, vanilla, bitter",2.5,248
1312,"creamy, nutty, bitter, flat",2.75,248
1313,"spicy, mild bitter",3.0,248
1314,"grassy, earthy, coffee",2.5,263
1315,"fruity,floral,cooling sensation",3.0,269
1316,mild bitter and chemical off,2.75,404
1317,"spicy, floral, bitter",2.75,423
1318,"licorice, melon",3.25,2708
1319,"plum, molasses",3.5,2708
1320,"fatty, dark berry, grassy",3.75,1133
1321,"sweet, vanilla domintates, nut",2.0,431
1322,"poor finish, cocoa, grassy",3.25,2478
1323,"gritty, overly sweet, citrus",3.0,1251
1324,"gritty, sour, berries",3.0,1968
1325,"sticky, molasses, sour",3.0,1968
1326,"medium roast, nutty",3.25,2016
1327,"intense, high acidity",3.75,2044
1328,"roasty, nutty",3.0,2064
1329,"nuts, dried fruit, grassy",3.25,2068
1330,"astringent, smomkey cocoa",3.25,2282
1331,"light color,",3.0,2286
1332,"intense, pungent, tangy",2.5,1422
1333,"nutty, pungent, sour",2.75,1422
1334,"nutty, sour milk",3.0,1422
1335,"strawberry, intense, sour",3.25,1422
1336,"intense, spicy, pungent",3.25,1426
1337,"spicy, molasses, earthy",3.25,1426
1338,"earthy, fatty, tea",3.25,1426
1339,"spicy, vanilla, dairy",3.25,1840
1340,"astringent, unbalanced, off",2.75,1852
1341,"creamy, mild flavors",3.75,1852
1342,oranges,3.75,1852
1343,"vanilla, earth, cardboard",2.5,1359
1344,"vanilla, candy-like, sour milk",3.0,1359
1345,"intense, bourbon, vanilla",2.5,1363
1346,mild vanilla and mild fruit,3.0,1363
1347,"smooth, rich, lemon",3.5,431
1348,"rich, spice, cheese",3.0,451
1349,"creamy, cocoa, spice",3.25,576
1350,"simple, rich hot cocoa",3.75,576
1351,"cocoa, nutty, acidic, burning",3.0,597
1352,"spicy, roasty, coffee",3.75,682
1353,"floral, soapy, earthy",3.25,891
1354,"creamy, woody, nutty",4.0,891
1355,"berry, rich cocoa dominates",3.75,927
1356,"unrefined, sweet, basic cocoa",3.0,2426
1357,"molasses, cardboard, off note",2.25,1892
1358,"metallic, cardboard, fruit",2.5,1892
1359,"nutty, fatty",3.0,1892
1360,"grit, earthy, musty",3.0,1892
1361,"anise, spicy, earthy",3.0,2138
1362,"earthy, molasses, dried fruit",3.0,2138
1363,"molasses, high acidity",3.25,2138
1364,"tart, molasses, grits",3.25,2138
1365,"fruit, cocoa, grape",3.5,2254
1366,"dry, melon, cocoa",3.5,2254
1367,"sandy, grapes",3.5,2358
1368,"roasty, dark berry, rich",3.5,230
1369,"rich cocoa, burning sensation",3.25,346
1370,"nutty, grassy, rich cocoa",3.5,346
1371,"rich, sweet, cocoa, intense",3.0,439
1372,"cocoa, caramel, sweet",3.75,445
1373,"rich, vegetal, banana, spice",3.5,741
1374,"nutty, pear, sour milk",3.5,891
1375,"brownie, cocoa, sour, sweet",2.75,1121
1376,"creamy, rich, dairy, nutty",3.25,1145
1377,"sweet, nutty, cocoa",3.25,1189
1378,"peanut butter, burnt rubber",2.5,721
1379,"sweet, fudgey, tang",3.25,713
1380,"rich cocoa, mild fruit & nut",3.5,2182
1381,"mild hammy, roasty, sour",3.0,2186
1382,"citrus,prononced orange",3.5,2186
1383,"fatty, roasty, coffee, off note",2.75,1434
1384,"nutty, woody, leathery",2.75,1438
1385,"roasty, sour, cardboard",2.75,1590
1386,"gritty, roasty, waxy, off",2.75,1590
1387,"slight burnt, astringent, fruit",3.0,1590
1388,"sandy, fatty, roasty, fruit",3.25,1590
1389,"roasty, nutty, rich cocoa",3.0,1594
1390,"rich, roasty, nutty, smoke",3.5,1638
1391,"smokey, rich cocoa, spice",3.25,1642
1392,"creamy, mild honey, floral",3.75,1642
1393,"floral, caramel",3.5,927
1394,"dry, roasty, toffee",2.5,327
1395,"chalky, fatty, sweet",3.0,833
1396,"chalky, cocoa, tangy",3.0,833
1397,"fatty, nutty, woody",3.0,853
1398,"spicy, grassy, roasty",3.5,1784
1399,"simple, earthy, cocoa",3.0,2048
1400,"sandy, rich cocoa",3.25,2048
1401,"complex, dairy, roasty",3.5,2048
1402,"well balanced, melon",3.75,1972
1403,"base cocoa, mild ham, woody",3.25,2262
1404,"sandy, off, hammy",2.75,2266
1405,"sandy, light color, grape",3.5,2266
1406,"intense, sticky, cocoa",3.5,1371
1407,"dried fruit, nutty, mushroom",3.25,1562
1408,"cocoa, spice, fruit",3.5,1562
1409,"roasty, black pepper, woody",3.0,1566
1410,"red fruit, brownie",3.25,1566
1411,"subtle, spicy, banana",3.5,1566
1412,"floral, black licorice",3.25,1728
1413,"smokey, mild berry",3.25,1952
1414,"strong raspberry, mocha",3.5,1952
1415,"mild, licorice, coffee, cocoa",4.0,1984
1416,brownie,3.75,2122
1417,"woody, mocha, molasses",3.25,2338
1418,"spoiled milk, sweet, molasses",3.25,2442
1419,"buttery, sunflower, astringent",3.5,2562
1420,home baked banana nut bread,3.75,2562
1421,"sandy, citrus",3.5,1231
1422,"sweet edge, bright fruit, off",3.0,1856
1423,"creamy, strawberry, cocoa",3.5,855
1424,"fatty, nutty, melon like",3.5,903
1425,"rich cocoa, spicy edge",3.75,903
1426,"grits, roasted, nutty",2.75,947
1427,"fatty, roasty, cocoa",3.0,947
1428,"fatty, grassy, cocoa",3.5,947
1429,"harsh burnt, mild cocoa, tang",3.0,157
1430,"grassy, rubbery, chemical",2.5,2538
1431,"basic cocoa, dirty/burnt edge",3.0,2538
1432,"spicy, sweet, cocoa",3.0,2538
1433,"black pepper, vanilla, harsh",2.5,1049
1434,"aluminum, mild coffee, roasty",3.0,1093
1435,"strong, brandy, smoke",3.0,1097
1436,"sandy, floral, vanilla, candy",3.5,1097
1437,"spicy, candied, complex",3.75,1383
1438,"sweet, candy-like, nutty",3.25,1395
1439,"dairy, pudding",3.75,1395
1440,"cherry, fatty, cocoa",3.0,2586
1441,"sweet, sl. smokiness, fruit",2.75,2590
1442,"multiple off flavors, metallic",2.0,1502
1443,potting soil,2.5,2194
1444,"smokey, earthy, cocoa",3.0,2194
1445,"nutty, mild dairy",3.25,2198
1446,intense mocha flavor,3.5,2198
1447,"oily, burnt, earthy",3.25,1976
1448,"rustic, basic cocoa, earthy",3.0,2238
1449,"mild sweet honey, rum, off",3.25,2692
1450,"smoke, fruit, ham, fatty",3.25,2518
1451,"very sweet, caramel, candy",2.75,552
1452,"sticky, marshmallow, cocoa",3.0,552
1453,"watered down coffee, cocoa",3.0,552
1454,"marshmallow, rich brownie",3.5,552
1455,"roasted pear, cocoa, sour",3.25,2502
1456,"fatty, dominant roast, spice",3.25,2502
1457,"deep cocoa, sl. pungent, sandy",3.0,2506
1458,"candied, sweet cocoa, roasty",3.25,2506
1459,"spice, coconut",3.5,2506
1460,"extremely sweet, vanilla",2.25,552
1461,"vanilla, strong chemical",1.5,721
1462,"gritty, roasty, rubbery",2.5,2426
1463,"gritty, cocoa base, ashey",2.75,2430
1464,"sandy, red berry, cocoa",3.5,284
1465,"sandy, woody, peanut butter",3.75,284
1466,"intense, nutty, cocoa",4.0,284
1467,"sticky, bitter, nutty",3.5,288
1468,"very sticky, nutty, woody",2.5,2664
1469,"raisiny, chewy",2.75,607
1470,"sandy, sweet, strong vanilla",2.5,672
1471,"sticky, strong vanilla, pepper",2.75,693
1472,"creamy, vanilla, rich fruit",3.25,991
1473,"creamy, burnt nuts, woody",3.25,995
1474,"vanilla, brownie, peanut",3.5,995
1475,"intense vanilla, swiss miss",2.75,1085
1476,"strong vanilla, nut, coffee",3.5,1085
1477,"fatty, vanilla, candy-like",2.75,1089
1478,"vanilla, earthy, caramel",2.75,1089
1479,"mild earthy, mild cocoa, nut",3.5,1940
1480,"chalky, astringent, vanilla",2.0,300
1481,"creamy, nutty, mass market",3.0,308
1482,"nutty, cooling sensation",3.25,308
1483,"creamy, hay, nutty",3.75,308
1484,"strong vanilla, some spice",2.0,531
1485,"cardboard, tea-like",2.75,184
1486,"creamy, sublte grape notes",3.5,184
1487,"sandy, sweet, cocoa",3.5,1121
1488,"gummy, smokey, hammy",2.75,2226
1489,"sweet, vanilla, easter candy",2.75,311
1490,"creamy, crunchy, very sweet",3.5,502
1491,"hammy, unrecognizable",3.0,1856
1492,"berry, nutty, sour",3.75,821
1493,"rubber, off medicinal",2.5,1219
1494,"nutty, green",2.75,1219
1495,"soil, wet, off notes",2.5,1446
1496,"muted, nutty",2.75,1331
1497,"molassses, intense, off, herb",3.25,1003
1498,"oily, tangy, fruit, earthy",2.75,1007
1499,"banana, menthol, medicinal",3.0,1007
1500,"molasses, sweet, cocoa",3.25,1007
1501,"orange, cocoa",3.75,1089
1502,"smoke, fruit",3.5,1522
1503,"dried fruit, balanced, cocoa",3.75,1522
1504,"sweet, fatty, fig",3.25,2032
1505,"dried fruit,spicy,sticky,intense",3.5,2442
1506,"chewy, brownie like",3.25,871
1507,"cocoa, coconut",3.5,871
1508,"grits, roaste brownie",3.25,875
1509,"nutty, intense, roasty",3.75,1255
1510,"coarse, intense, nutty",3.5,1279
1511,"basic, balanced, deep cocoa",3.75,1844
1512,"nutty, roasty,",3.5,1848
1513,"fruity, tangy, cocoa",3.5,1474
1514,"delicate, caramel, peanut",3.5,1474
1515,"coarse, floral, rum",3.5,1478
1516,"heavy roast, few grits, rich",2.75,1606
1517,"rich, bright fruit",3.5,1606
1518,"lemon, spicy, cocoa",3.5,1606
1519,"roasty, coffee, rubber",2.75,1610
1520,"sweet, fatty, roasty",3.0,1610
1521,"grassy, woody, sweet",3.5,1634
1522,"intense, sour, tart",3.25,1896
1523,"earthy, tobacco, ashey",3.0,1956
1524,"complex, creamy, cherry",3.5,2040
1525,"off notes, rubbery, hammy",3.0,2262
1526,"sweet, spicy, dirty",3.25,2262
1527,"smokey, dirty, sour",2.75,1884
1528,"smoked nuts, tang",3.25,2610
1529,"mild orange, herbaceous",3.5,2610
1530,"earthy, musty, sweet",2.75,2598
1531,"floral, earthy, acidic, harsh",2.75,2598
1532,"delicate, nutty, butterscotch",3.25,2598
1533,"earthy, coffee, roasty",3.25,1808
1534,"dried fruit, woody, dirty",2.75,2158
1535,citrus,3.5,845
1536,"roasty, coffee",3.5,845
1537,"cocoa, spice, late sour",3.5,845
1538,"sticky, pepper, cinamon, rich",3.5,849
1539,"creamy, fatty, black pepper",3.0,895
1540,"melon, roasty",3.5,955
1541,"fatty, heavy roast, nutty",3.5,1149
1542,"long, mild honey, rich cocoa",3.25,1650
1543,"roasty, rich, coffee, nut",3.5,1650
1544,spicy and fragrant,3.75,1650
1545,"fatty, roasty, nutty",3.5,2258
1546,"intense orange, floral",3.0,537
1547,"chewy, earthy, spicy",3.0,544
1548,"cocoa, earth, wheat",3.25,544
1549,"intense, dark berry, cocoa",3.5,544
1550,"waxy, rubber, medicinal",2.25,1189
1551,"fatty, rubber, medicinal",2.5,1189
1552,"sticky, pungent, off note",2.75,1836
1553,"sandy, earthy, sweet edge",3.0,1836
1554,"sandy, mild floral, mild nutty",3.25,1836
1555,"sticky, woody, musty",2.75,572
1556,"dry, sticky, nutty, earthy",3.0,572
1557,"sticky, earthy, coffee",3.25,572
1558,"rich cocoa, coffee, roasty",3.5,672
1559,"sandy, strawberry, sour",3.0,701
1560,"dry, sandy, intense, berry",3.0,709
1561,"gritty, high astringent, sour",2.75,713
1562,"gritty, tangy, cocoa",3.5,773
1563,"gritty, sticky, smoke,hammy",2.75,777
1564,"orange,lemon,coffee ground",3.0,777
1565,"dry, gritty, red berry, coffee",3.25,777
1566,"gritty, raspberry, sour",3.75,777
1567,"gritty, fruit, tart, rich",3.5,959
1568,"gritty, overly tart, sour",2.5,999
1569,"gritty, sour, sweet",2.75,999
1570,"tart, deep choco",3.75,1359
1571,"mild bitter, citrus, intense",3.0,1450
1572,"green, vegetal, mild spice",3.25,1450
1573,"sticky, butterscotch, nutty",3.5,1177
1574,"sticky, red fruit",4.0,1177
1575,"creamy, grassy, smoke, nut",4.0,1177
1576,"nutty, fruity, spicy",3.75,1181
1577,"sweet, banana, mild sour orange",3.5,2704
1578,"heavy roast, smoke",3.25,1367
1579,"roasty, coffee",3.25,1367
1580,"intense, burnt, bitter, spice",3.25,1430
1581,"sweet, cherry, cream, raisin",3.5,1430
1582,"nutty, cheese, savory",3.0,2482
1583,"sweet edge, sour fruit",3.25,2482
1584,"roasty, hammy, dirty",3.0,2486
1585,"gritty, sweet, earthy",3.0,1728
1586,"musty, woody, rubbery, roasty",2.5,2474
1587,"cocoa, strawberry",3.25,2478
1588,"pungent, off",2.5,1287
1589,"molasses, sweet, choco",2.75,1287
1590,"spicy, metallic, molasses",3.0,1287
1591,"fatty, sligthly bland, earthy",3.0,1291
1592,"high roast, nutty, deep choco",3.5,1291
1593,"floral, earthy, bitter",2.5,2362
1594,"dry, floral, dirty, coconut",2.75,2362
1595,"smooth, coconut, cocoa",3.25,2362
1596,"creamy, coconut, cocoa",3.25,2362
1597,"sticky, tart, slight burnt",2.5,837
1598,"uneven, smokey, hammy",2.5,841
1599,"chewy, woody, off notes",2.5,2732
1600,"intense, ham, butterscotch",3.25,1347
1601,"intense, grassy, spicy, rich",3.5,1347
1602,"acidic, pomegrant, brownie",3.25,1351
1603,"dried fruit, rich cocoa",3.5,1351
1604,"fatty, bitter, woody, roasty",2.75,1494
1605,"dairy, caramel",3.0,1494
1606,"earthy, floral, rubbery",2.5,2250
1607,"fatty, creamy, olive",3.0,1267
1608,"creamy, fatty, mild cherry",3.5,1267
1609,"roasty/smokey, high acidity",3.25,2166
1610,"dried fruit, mild hammy",3.75,2170
1611,"accesible, simple cocoa note",3.5,1688
1612,"grape, mild smoke, sandy",3.5,2210
1613,"pungent, grape, apricot",3.0,2716
1614,"sweet, crisp nibs",2.0,24
1615,bitter coffee flavor,2.0,24
1616,"creamy, licorice, herbs",3.0,24
1617,"creamy, raisins, licorice",3.75,24
1618,"grapefruit, spices",3.75,24
1619,tropical fruit and mild smoke,3.75,24
1620,"smooth, bold, bitter",2.0,81
1621,"cocoa, orange",3.5,117
1622,"creamy, smoke, raspberry",3.5,135
1623,"raisins, melon",3.75,963
1624,"sandy, earthy, fatty",3.25,2020
1625,"sandy, grits, nutty, vanilla",3.0,2270
1626,"dairy, cocoa, fatty, apple",3.5,2438
1627,"chemical, salt, wtf",1.5,887
1628,"sticky, cardboard,why bother",2.0,887
1629,"leather, salt",2.5,887
1630,"molassses, palm, spicy",2.5,1117
1631,"strawberry, cream, spice",3.25,1117
1632,"woody, lemon, mild bitter",3.5,1490
1633,"black pepper, dairy",3.5,1490
1634,"spicy, rich, mint",3.75,1490
1635,"nutty, grassy, woody",3.75,1490
1636,"banana, melon, fatty",3.25,1538
1637,"rum, herbal, rich",3.5,1538
1638,"fatty, simple",3.0,2112
1639,"candy spices, sweet",3.25,2112
1640,"grape, cocoa",3.5,2112
1641,"complex, true to origin",3.25,2114
1642,"wine, brownie batter",3.5,825
1643,"unrefined, burnt nuts, vanilla",2.5,1073
1644,"sandy, nutmeg, astringent",3.0,2346
1645,"dry, sandy, empty, sweet",3.0,2346
1646,"dry, sandy, dirt, empty",3.0,2346
1647,"sandy, green, grassy, harsh",2.75,2566
1648,"unripe fruit, sour, watery",3.0,2570
1649,"sandy, bitter, sour fruit",3.0,2570
1650,"cocoa, mild pear, sticky",3.5,2210
1651,"intense, sour, hammy",3.0,2214
1652,"cocounut, late sour",3.25,2214
1653,"grape, thick, chewy",3.75,2214
1654,"dry, coffee notes from roaster",2.75,607
1655,"sandy, harsh, floral",2.75,2382
1656,"gritty, sweet, earty",3.5,1920
1657,"few grits, intense smoke",3.0,1960
1658,"tangy, roasty, ham",3.25,1960
1659,"sweet, licoric",3.5,1960
1660,"slight grainy, roasty, spicy",3.5,1960
1661,"complex, fruit, nut, rich",3.75,2370
1662,"sour fig, cocoa, creamy, fatty",3.5,2458
1663,"coarse, smokey, citrus",3.5,1626
1664,"sticky, blackberry, acidic",3.75,1880
1665,"powdery, intense, floral",3.0,2354
1666,"vanilla, artificial, sweet",2.5,955
1667,"rough, sweet, dairy, vanilla",2.75,607
1668,basic cocoa,3.25,1026
1669,"strawberry, blueberry",3.0,1030
1670,earthy,3.0,2170
1671,"dirty, rubbery, spicy",2.5,2198
1672,"dark berry, earthy",3.5,2338
1673,"roasty, honey, sweet",3.0,2350
1674,"cocoa, fig, classic",3.75,2450
1675,"creamy, off note, rubbery, petro",2.75,2648
1676,"dark fruit, slight harsh molasses",3.25,2652
1677,"overly intense, tart, red fruit",3.0,1614
1678,"intense, smokey, floral",2.75,1618
1679,"dry, nutty, fruity",3.25,1618
1680,"unrefined, hay, sweet",2.75,661
1681,"unrefined, bright berry, sweet",2.75,661
1682,"fatty, floral, spicy",3.25,2142
1683,"earthy, spicy, cocoa",3.5,1812
1684,"black tea, floral",3.5,2680
1685,"smoke, ham, sour milk",3.25,1391
1686,"chalky, powdery, molasses",3.25,2222
1687,"intense, floral, cocoa,long lasting",3.75,2542
1688,"licorice, cocoa",3.5,2656
1689,"spicy, smoke, sour",3.25,1654
1690,"spicy, sweet, fragrant",3.5,1654
1691,"spicy, fragrant, bitter",3.5,1658
1692,"light color, spicy, sweet, sour",3.0,2490
1693,"grassy, spicy, sweet",3.5,1462
1694,"sweet, rich",3.5,1462
1695,"Fruity, Roasty",3.5,2190
1696,"gritty, sweet, earthy",2.75,1896
1697,"dry, earthy, atypical",2.75,1896
1698,"sweet, molasses, gritty",2.75,1900
1699,"gritty, tart, molasses",3.0,1900
1700,"too sweet, earthy, off notes",2.5,1049
1701,"earthy, spicy, cocoa",3.0,1049
1702,"sandy, oranges",2.5,867
1703,"sandy, floral, spice, roasty",3.75,1046
1704,"orange, floral, caramel",3.75,1133
1705,"sandy, intense, tropical fruit",3.25,1379
1706,"coarse, sweet, minty",2.75,1399
1707,"coarse, sweet",3.0,1399
1708,"bold, savory, creamy",3.25,2418
1709,"strong, rubbery, woody, sweet",2.75,2458
1710,"sandy, spicy, earthy",3.5,1007
1711,"metallic, medicinal, pungent",2.25,1403
1712,"grassy, dirt, mild spice",2.5,1403
1713,"intense, pungent, sour fruit",2.5,1403
1714,"brownie, toffee",3.5,1403
1715,"dry, sandy, sweet, acidic",3.25,2060
1716,"non descript, poor aftertaste",2.0,15
1717,"grassy, earthy, burnt",2.75,15
1718,"pastey, complex, coffee,vanilla",3.0,24
1719,"pastey, strong off flavor",1.0,135
1720,"complex, intense banana",3.75,230
1721,"gritty, vanilla, non-descript",2.5,531
1722,"molasses, nut, roasty, bitter",2.25,1526
1723,"molasses, rum, tea",2.75,1526
1724,"molasses, bright fruit",3.0,1526
1725,"molasses, malt, raisin",3.0,1526
1726,notes from sugar,3.0,2134
1727,"molasses, dried fruit",3.25,2732
1728,"molasses, earthy, flat",3.0,2732
1729,"spicy, red fruit, raisins",2.75,1022
1730,"single note, spicy",3.5,1022
1731,"floral, cocoa, creamy",3.75,2398
1732,"pungent, grape, sour",3.0,2142
1733,"sweet, melon notes",3.0,2158
1734,"spicy, vanilla, sweet",2.75,2162
1735,"basic cocoa, sour ending",3.0,2174
1736,"sour, rubbery, off",2.75,2282
1737,"strong base cocoa, rubber",3.25,2394
1738,"nutty, high roast, spice",3.0,1295
1739,"coconut, mild metallic",3.0,1299
1740,"roasty, mild orange",3.25,1299
1741,"sweet, candy like, dairy",3.0,837
1742,"sweet, spicy, cocoa",3.0,841
1743,"orange,citrus, high astringency",3.5,2736
1744,"sl. Burnt, nutty, fruit in back",3.25,2756
1745,"delicate, coffee, caramel",3.75,2760
1746,"sl. sweet, basic cocoa",3.0,2760
1747,"grass, tobacco",3.0,2760
1748,"tart, lemony , high astringency",3.5,2760
1749,"woody, coffee,roasted cherry",3.0,931
1750,"fatty, honey, earthy",2.75,935
1751,"sandy, strawberries",3.25,935
1752,"rich, cherry, smoke, cocoa",3.75,1454
1753,"earthy, roasted nuts",2.75,1458
1754,"intense, slightly burnt",3.0,1458
1755,"fruity, sour, high astringent",3.5,1458
1756,"rich, mild smoke, red fruit",3.75,1470
1757,"cocoa, nut, dried fruit, rubbery",3.0,2486
1758,"spicy, cocoa, hammy",3.25,2486
1759,"nutty, banana, cocoa",3.5,1876
1760,"grassy, vanilla, burnt",2.5,478
1761,"creamy, roasty, mild grape",3.75,1638
1762,"intense grapes, sweet cocoa",3.75,2386
1763,"melon, earthy, tobacco",3.75,1558
1764,"peanut butter, raspberry",4.0,1558
1765,"smoke, sour fruit, hammy",2.75,1411
1766,"smoke, sour fruit, hammy",3.0,1411
1767,"intense, bitter, sour, smokey",3.25,1411
1768,"smokey, intense, coffee",3.5,1411
1769,"bitter, intense, nutty",2.75,1760
1770,"cocoa, roasty, nutty",3.5,1760
1771,"damp woody, leather, cocoa",3.0,2490
1772,"sour banana, muted",3.0,2494
1773,"dominant hazelnut, fudge",3.25,2494
1774,"intense tart, sourness",3.25,2494
1775,"silky smooth, cherry, cocoa",3.75,2494
1776,"walnut, tobacco, grassy",3.25,2498
1777,"complex,cranberry,malt, vanilla",3.75,2498
1778,"blackberry, tang",3.75,2566
1779,"sharp fruit, intense, sl. Sour",3.0,2582
1780,"burnt fudge, nutty",3.25,2582
1781,"deep cocoa, cherry, slight ashy",3.25,2696
1782,"berries, burnt, rubbery, off",3.0,2704
1783,"strong start, fruity, acidic",3.5,2704
1784,"off notes, sour, roasty",2.75,1594
1785,"sweet,sandy, fruit, pungent",3.0,1598
1786,"rich cocoa, one dimensional",3.5,761
1787,"creamy, cherry, acidic",3.75,2142
1788,"sandy, cheese, sour",2.75,457
1789,"fatty,cheese, musty",3.0,457
1790,"earthy, cheesy",3.0,486
1791,"gritty, simple cocoa, burnt",3.0,486
1792,"intense, medicinal, leathery",2.0,688
1793,"rubber, cocoa, bitter",2.75,688
1794,"creamy, medicinal, mint, bitter",2.75,688
1795,"sticky, berry, bitter",3.0,688
1796,"grits, strong vanilla, brownie",2.75,693
1797,intensely smokey,3.0,1247
1798,"red berry, mild molasses",3.5,1247
1799,"sweet, dried fruit, gateway",3.75,1816
1800,"intense spice, coarse",3.0,2036
1801,"sweet, tart, raisin, sour ending",3.25,2514
1802,"roast dominates,spicy,astringent",3.25,2518
1803,"sweet edge, dried fruit, lemon",3.5,2518
1804,"caramel, honey, roasty",3.25,2676
1805,"tart, green apple, rich",3.5,2676
1806,"burnt honey, rubbery",2.75,2680
1807,"grape, punchy, deep cocoa",3.25,2680
1808,"sandy, ashey, mild fruit",2.75,1161
1809,"sandy, roasty, fruity",2.75,1165
1810,"grits, roasty, woody",2.75,1165
1811,"sandy, cinamon, high roast",3.0,1165
1812,"spicy, sweet, high roast",3.0,1165
1813,"fatty, bland, some spice",3.0,2076
1814,vegetable and honey,3.0,331
1815,"creamy, sour banana, lemon",3.0,341
1816,"rich cocoa, bread notes",3.25,341
1817,"creamy, melon, subtle",3.75,733
1818,"fatty, dates, musty",2.75,1438
1819,"creamy, mild bitter, coffee",3.25,1442
1820,"muddy, pastey, sweet, vanilla",3.0,24
1821,"sticky, tobacco",3.0,316
1822,"dry, banana, molasses",3.0,859
1823,"sandy, molasses, brownie",3.0,859
1824,"floral, rubber, vanilla, metallic",2.75,224
1825,"sandy, rubber, spice, floral",3.0,224
1826,"creamy, sweet, green",3.0,224
1827,"bitter, earthy",2.0,266
1828,"sandy, green, spice, nuts",3.5,266
1829,"waxy, sandy, floral",3.5,721
1830,"spice, mostly bitter",2.75,817
1831,"light color,complex,molasses",4.0,863
1832,"floral, green, tannic",3.25,1415
1833,"savory, smokey",3.5,1415
1834,"creamy, green fruit, candied",3.75,1415
1835,"creamy, spicy, cocoa",4.0,1415
1836,"complex, balanced",4.0,1848
1837,"vanilla, sweet, gateway",3.5,2230
1838,"molasses, tart, vegetal",3.25,2234
1839,"creamy, tobacco, cocoa",3.75,2234
1840,"vinegar, sour",2.75,1239
1841,"red fruit, intense, bright",3.75,1239
1842,"earthy, nutty, black pepper",2.75,1303
1843,"intense floral, slight woody",3.5,1399
1844,"mellow, fruity, brownie",3.75,1399
1845,"slow, sweet, spicy",3.25,1570
1846,"maple, spicy, cocoa",3.25,1570
1847,"rich cocoa, dried fruit",3.5,1574
1848,"cocoa, melon, dairy",3.75,1574
1849,"fruity, off rubber",2.75,1720
1850,"strawberry, savory",3.0,1720
1851,"grape, pungent, off sour",2.75,1992
1852,"sticky, bold, nutty, fig",3.5,1992
1853,"creamy, burnt rubber, off",2.75,2000
1854,"intense spicy, floral",3.5,2286
1855,"intense, bitter, spicy",3.0,1860
1856,"fig, sour, rubbery",3.25,2298
1857,"fruit, sour, roasty",3.25,2298
1858,"cocoa, earthy, roasty",3.25,2302
1859,"sandy, fruit, cocoa, sour",3.5,2302
1860,"harsh, tobacco, roasty",2.75,2334
1861,"burnt caramel, coffee",3.0,2334
1862,"mild nutty, basic cocoa",3.5,1363
1863,"gritty, woody, acidic",3.0,1251
1864,"mild spice, grapes",3.5,1255
1865,"intense, blackberry, acidic",3.5,1542
1866,"sour, earthy, roasty",3.25,1856
1867,"fatty, woody, poor aftertaste",2.75,2274
1868,"rubbery, buttery, soil",2.75,2274
1869,"nut, roasty, high astringent",3.0,2278
1870,"gritty, sweet, off",2.5,1137
1871,"gritty, earthy, melon",2.75,1137
1872,"mild tart, wine, red fruit, long",4.0,196
1873,"simple red berry, rich, long",4.0,331
1874,"creamy, fruit forward, rich",3.5,439
1875,"earthy, nutty",3.5,439
1876,"smooth, red berry, cocoa",3.75,636
1877,"creamy, cocoa, grapes",4.0,1034
1878,"sticky, mild citrus, earthy",2.25,1271
1879,"coarse, sweet, tart, earthy",2.75,1271
1880,"coarse, earthy, sweet",3.0,1454
1881,"mild smokey, black licorice",3.0,2258
1882,"off aroma, anise, dried fruit",3.25,2294
1883,"mild tart, long and rich",4.0,81
1884,"red fruit, smokey, sour",3.0,93
1885,"rich cocoa, marshmallow",3.75,93
1886,"rich cocoa, tart citrus",4.0,111
1887,"creamy, cocoa, grassy",3.75,129
1888,"tangy, floral, spicy, cocoa",4.0,141
1889,"cinamon, bitter aftertaste",3.5,166
1890,"smokey, floral, mild",3.0,414
1891,"bland, subtle dairy, burning",3.0,445
1892,"strong vanilla, nutty, spicey",3.0,478
1893,berry notes with sweet edge,3.25,478
